px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
5.03895	-8.94538	-2.80934	-2.25199	-1.0067	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.00318853
5.11179	-8.81509	-2.80217	-2.25291	-0.887871	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.99143
5.22751	-8.68421	-2.83307	-2.30711	-0.889662	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.54029
5.32597	-8.58093	-2.83501	-2.35143	-0.887961	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.0337518
5.43318	-8.47015	-2.85474	-2.39328	-0.881454	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.268831
5.52844	-8.35326	-2.84274	-2.39596	-0.779	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	1.5351
5.61804	-8.24821	-2.81619	-2.42166	-0.76113	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.850595
5.70663	-8.12317	-2.80559	-2.39993	-0.622007	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	2.62374
5.82923	-8.0051	-2.83011	-2.42894	-0.611917	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.38222
5.933	-7.89004	-2.82564	-2.4262	-0.530694	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	0.871811
6.05363	-7.77627	-2.84178	-2.44825	-0.519656	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.226618
6.15619	-7.6602	-2.83431	-2.43327	-0.421791	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	1.23959
6.27087	-7.55598	-2.83326	-2.45147	-0.415448	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.0484921
6.3813	-7.44839	-2.8287	-2.44889	-0.357119	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	0.456308
6.48948	-7.35415	-2.81115	-2.46488	-0.353824	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.199652
6.61092	-7.27639	-2.81897	-2.51432	-0.432317	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	1.52717
6.73293	-7.18222	-2.83936	-2.53121	-0.424732	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.245323
6.81694	-7.0499	-2.81361	-2.45041	-0.190963	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	7.70271
6.91944	-6.95088	-2.79449	-2.45252	-0.181374	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.409725
7.05517	-6.8733	-2.79974	-2.5053	-0.277367	7.08741	-6.92602	7	-6.85	2.72856	1.81904	1.25847
7.17418	-6.77445	-2.8014	-2.51263	-0.266982	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.111592
7.27221	-6.65776	-2.78592	-2.45987	-0.112428	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	3.366
7.38267	-6.56155	-2.77631	-2.46208	-0.107692	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.0996536
7.53478	-6.52264	-2.79448	-2.58126	-0.366799	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	9.38493
7.65423	-6.45351	-2.7917	-2.60252	-0.37069	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.0162997
7.7777	-6.36961	-2.78399	-2.60682	-0.33599	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0.296249
7.89666	-6.31147	-2.75193	-2.63308	-0.34835	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.567573
8.02298	-6.23437	-2.74487	-2.63752	-0.313733	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.235204
8.15143	-6.15789	-2.74408	-2.64968	-0.307052	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.0452417
8.24398	-6.06123	-2.71801	-2.59029	-0.139419	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	4.43346
8.35478	-5.97795	-2.72228	-2.58598	-0.124236	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.180126
8.5044	-5.92636	-2.74069	-2.65522	-0.264896	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	3.05726
8.64239	-5.85873	-2.74495	-2.67279	-0.268658	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.0376578
8.74616	-5.75468	-2.71238	-2.60367	-0.0811994	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	5.75149
8.86991	-5.6677	-2.71581	-2.59811	-0.0676548	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.120067
8.96802	-5.57412	-2.69998	-2.54768	0.0534884	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	2.35815
